V(A3/atom),T(K),P(GPa),E(eV/atom)
5.39030478,2000,40.476915,-8.51261914
5.39030478,3000,46.749595,-8.25819642
5.39030478,4000,53.824061,-7.98762622
5.39030478,5000,62.498152,-7.70916727
5.39030478,6000,68.1514,-7.4008713
5.39030478,7000,80.271411,-7.01632481
5.11387889,2000,71.326652,-8.44584732
5.11387889,3000,77.902835,-8.18127692
5.11387889,4000,85.956538,-7.91975343
5.11387889,5000,92.622201,-7.64482137
5.11387889,6000,100.743851,-7.33194054
5.11387889,7000,111.059252,-6.98217392
4.86442138,2000,105.733268,-8.33149703
4.86442138,3000,112.544207,-8.06526169
4.86442138,4000,118.906601,-7.80860304
4.86442138,5000,127.231113,-7.53095907
4.86442138,6000,135.19403,-7.2347257
4.86442138,7000,143.734771,-6.89988759
4.86442138,8000,156.021765,-6.46504074
4.63816923,2000,143.345278,-8.17668507
4.63816923,3000,150.519247,-7.91174969
4.63816923,4000,158.794582,-7.65162315
4.63816923,5000,166.311339,-7.37658309
4.63816923,6000,174.428075,-7.08995641
4.63816923,7000,183.600533,-6.76711791
4.41534817,2000,188.869885,-7.96194005
4.41534817,3000,196.520213,-7.70346946
4.41534817,4000,203.093446,-7.43839908
4.41534817,5000,212.84564,-7.16795788
4.41534817,6000,219.916848,-6.88173518
4.41534817,7000,228.989795,-6.56560247
4.41534817,8000,239.55567,-6.20464621
4.24343142,2000,231.919757,-7.74437513
4.24343142,3000,239.034974,-7.4962372
4.24343142,4000,247.11987,-7.23040185
4.24343142,5000,255.612735,-6.95681674
4.24343142,6000,262.609885,-6.67629887
4.24343142,7000,270.935215,-6.37046381
4.07023014,2000,282.335342,-7.48855545
4.07023014,3000,289.369744,-7.23069884
4.07023014,4000,297.309335,-6.9674284
4.07023014,5000,304.017605,-6.69249134
4.07023014,6000,313.087042,-6.41632632
4.07023014,7000,322.162572,-6.11629308
4.07023014,8000,328.688249,-5.78302692
4.07023014,9000,341.072738,-5.3777581
3.91061327,2000,335.641809,-7.19583897
3.91061327,3000,343.189945,-6.93497945
3.91061327,4000,350.748371,-6.67129303
3.91061327,5000,357.141789,-6.40219278
3.91061327,6000,368.563712,-6.12865768
3.91061327,7000,374.470996,-5.8267245
3.76304296,2000,392.973795,-6.87606937
3.76304296,3000,400.979709,-6.61575984
3.76304296,4000,408.535205,-6.3492565
3.76304296,5000,415.855986,-6.0819562
3.76304296,6000,423.579389,-5.80606717
3.76304296,7000,433.474706,-5.51019679
3.76304296,8000,441.557943,-5.19128916
3.76304296,9000,449.408939,-4.80048087
3.62620503,2000,453.617688,-6.51477412
3.62620503,3000,460.46887,-6.26798215
3.62620503,4000,470.216177,-6.00024585
3.62620503,5000,476.767756,-5.73174659
3.62620503,6000,484.635236,-5.45934345
3.62620503,7000,492.226751,-5.16265809
3.49896977,2000,519.318723,-6.15806972
3.49896977,3000,526.544353,-5.89614424
3.49896977,4000,535.7504,-5.62540804
3.49896977,5000,544.25838,-5.35664679
3.49896977,6000,550.371446,-5.08237871
3.49896977,7000,558.217641,-4.79240714
3.49896977,8000,567.99572,-4.48088527
3.49896977,9000,575.266072,-4.09621278
3.37692646,2000,590.172339,-5.73222657
3.37692646,3000,597.561705,-5.47408497
3.37692646,4000,604.704387,-5.21646834
3.37692646,5000,611.194345,-4.94800908
3.37692646,6000,622.007849,-4.67275003
3.37692646,7000,627.306291,-4.38344144
3.26952913,2000,660.261764,-5.32488082
3.26952913,3000,666.172392,-5.06816217
3.26952913,4000,673.837749,-4.80966058
3.26952913,5000,683.391296,-4.54033633
3.26952913,6000,690.661674,-4.26641924
3.26952913,7000,698.882894,-3.97526971
3.26952913,8000,708.969609,-3.67082961
3.26952913,9000,717.039641,-3.30966636
3.06832733,2000,814.988424,-4.42384612
3.06832733,3000,821.937311,-4.16841643
3.06832733,4000,829.596817,-3.90008516
3.06832733,5000,837.928593,-3.62928196
3.06832733,6000,843.653851,-3.3605457
3.06832733,7000,855.824425,-3.07385803
3.06832733,8000,862.909455,-2.767147
3.06832733,9000,871.127814,-2.40286085
